aggregate_date,week_label,region,carrier_name,5G,LTE,Multi-RAT,fiveg_minus_lte_kbps,fiveg_minus_lte_pct,fiveg_underperform_lte
2026-03-08,2026-03-08,Assiut,Operator B,347655.5391969407,77044.48885350318,203209.83633093524,270611.0503434375,351.23998402792046,False
2026-03-08,2026-03-08,Assiut,Operator C,410191.4042553192,26084.434523809523,196523.41666666663,384106.9697315097,1472.5524119792667,False
2026-03-08,2026-03-08,Cairo,Operator A,288465.3909348442,49646.05175600739,107048.23396946564,238819.33917883682,481.0439717392806,False
2026-03-08,2026-03-08,Cairo,Operator B,270618.4569464544,28346.13061067232,66299.82574689062,242272.3263357821,854.6927609391829,False
2026-03-08,2026-03-08,Cairo,Operator C,309093.7507749535,22762.38957597173,153121.35645041015,286331.36119898176,1257.9143338326694,False
2026-03-08,2026-03-08,Dakahlia,Operator A,269944.559639692,43396.38613396005,95823.76099568268,226548.17350573197,522.043869750817,False
2026-03-08,2026-03-08,Dakahlia,Operator B,307377.7140274468,22464.411136428367,51225.27060385672,284913.30289101845,1268.2874309979222,False
2026-03-08,2026-03-08,Dakahlia,Operator C,239885.4759124088,21749.73647441105,65634.9775780841,218135.73943799775,1002.935091625769,False
2026-03-08,2026-03-08,Fayoum,Operator A,243686.15068493152,54138.8789893617,73946.42611683848,189547.27169556983,350.1130338011171,False
2026-03-08,2026-03-08,Fayoum,Operator B,204770.62342733188,32435.20358095894,44195.89587961304,172335.41984637294,531.3221463716735,False
2026-03-08,2026-03-08,Fayoum,Operator C,100878.10655737705,26412.575796178346,35161.9276061776,74465.5307611987,281.93210437269494,False
2026-03-08,2026-03-08,Gharbia,Operator B,378175.2876712329,83082.93711967545,196190.5455568054,295092.35055155744,355.178043509098,False
2026-03-08,2026-03-08,Gharbia,Operator C,427716.2368421053,54392.96428571428,248432.4574468085,373323.272556391,686.3447827469117,False
2026-03-08,2026-03-08,Giza,Operator A,224086.82941351592,56800.13233339662,90918.21987666034,167286.6970801193,294.51814671523255,False
