region,carrier_name,observations,sample_count_total,avg_median_download_kbps,avg_median_latency_ms,below_peer_download_rate,above_peer_latency_rate,avg_download_gap_pct_vs_peer,avg_latency_gap_pct_vs_peer,avg_peer_anomaly_score,flagged_peer_anomalies,is_worst_by_download_in_region,is_worst_by_latency_in_region,is_worst_by_peer_anomaly_score_in_region,is_worst_carrier_in_region
Monufia,Operator A,7,1080,108303.49537037036,30.617592592592594,0.42857142857142855,0.0,40.12011376607549,-19.424382164202882,8.42084583661773,0,False,False,False,False
Port Said,Operator B,9,223555,189113.66583167453,25.14481447518508,0.1111111111111111,1.0,8.905979075333999,16.48961977590575,17.373923814866654,0,False,True,True,True
Port Said,Operator C,9,72784,195742.38520828754,20.37671741041987,0.6666666666666666,0.0,-6.176291279129616,-16.46802426797908,10.836077265688235,0,False,False,False,False
Port Said,Operator A,9,56905,158990.5630963887,23.014128811176523,0.6666666666666666,0.1111111111111111,-3.8235313256876795,-5.065986889300037,10.699818080110358,0,True,False,False,False
Sharqia,Operator B,9,98786,49098.96761686879,39.46683740611018,0.6666666666666666,1.0,-45.67118307647953,10.701706337069329,59.45808902983607,0,True,True,True,True
Sharqia,Operator C,9,8900,55698.58011235955,37.86056179775281,0.3333333333333333,0.2222222222222222,18.6311681060236,-1.673004673741927,8.068812656084209,0,False,False,False,False
Sharqia,Operator A,9,11851,78061.02919584844,34.03679014429162,0.0,0.0,153.00250180265073,-14.222463811733618,0.0,0,False,False,False,False
Sohag,Operator C,9,1169,33367.56116338751,44.296834901625324,0.7777777777777778,1.0,-20.263096744989628,16.524971059647918,43.60299324996072,0,True,True,True,True
Sohag,Operator B,9,31756,43546.03863836755,37.76791787378763,0.6666666666666666,0.0,-35.16646845341765,-10.172148307846893,38.65690558099063,0,False,False,False,False
Sohag,Operator A,9,1607,69392.99937772246,41.829495955196016,0.0,0.7777777777777778,127.60217411478897,8.894975973753091,9.085298448607992,0,False,False,False,False
