region,carrier_name,observations,sample_count_total,avg_median_download_kbps,avg_median_latency_ms,below_peer_download_rate,above_peer_latency_rate,avg_download_gap_pct_vs_peer,avg_latency_gap_pct_vs_peer,avg_peer_anomaly_score,flagged_peer_anomalies,is_worst_carrier_in_region
Minya,Operator A,9,2259.0,79722.4001770695,39.90659583886676,0.6666666666666666,0.0,-16.30461174767594,-9.621094770666808,0.8353275920363891,0,False
Minya,Operator C,9,2814.0,157920.01385927506,39.291755508173416,0.5555555555555556,0.1111111111111111,12.029391715087009,-9.70346121836923,0.7189925217459957,0,False
Monufia,Operator C,5,388.0,55952.260309278354,46.855670103092784,0.8,1.0,-39.45561930393829,32.82213111829077,1.6199319551168114,2,True
Monufia,Operator B,6,3893.0,95908.50757770357,36.94657076804521,0.6666666666666666,0.8333333333333334,9.618883134529659,5.533946201286397,1.0382134869322306,0,False
Monufia,Operator A,6,1036.0,103642.63416988417,30.892857142857142,0.3333333333333333,0.0,41.899173302658355,-18.75202999807286,0.6580872981735051,0,False
Port Said,Operator B,9,223555.0,189113.66583167453,25.14481447518508,0.1111111111111111,1.0,8.905979075333999,16.48961977590575,1.0504435961333476,0,True
Port Said,Operator A,9,56905.0,158990.5630963887,23.014128811176523,0.6666666666666666,0.1111111111111111,-3.8235313256876795,-5.065986889300037,0.8002529175208081,0,False
Port Said,Operator C,9,72784.0,195742.38520828754,20.37671741041987,0.6666666666666666,0.0,-6.176291279129616,-16.46802426797908,0.7329943297595103,0,False
Sharqia,Operator B,9,98786.0,49098.96761686879,39.46683740611018,0.6666666666666666,1.0,-45.67118307647953,10.701706337069329,1.5275013389255636,0,True
Sharqia,Operator C,9,8900.0,55698.58011235955,37.86056179775281,0.3333333333333333,0.2222222222222222,18.6311681060236,-1.673004673741927,0.6949719326908401,0,False
Sharqia,Operator A,9,11851.0,78061.02919584844,34.03679014429162,0.0,0.0,153.00250180265073,-14.222463811733618,0.5066152845599654,0,False
Sohag,Operator C,9,1169.0,33367.56116338751,44.296834901625324,0.7777777777777778,1.0,-20.20459107537545,16.519891222313444,1.3527697266598773,0,True
Sohag,Operator B,9,31756.0,43546.03863836755,37.76791787378763,0.6666666666666666,0.0,-23.258385705955405,-10.254796831784804,1.0327912437893825,0,False
Sohag,Operator A,6,1479.0,50713.67139959432,42.47126436781609,0.0,1.0,136.35246828530452,9.575596764485883,0.9090814481630736,0,False
